dog ID,nose print image,width,height,laplacian_variance
0,x1FVNAVSRniPE0kHchH0IAAAACMAARAD.jpg,250,250,1553.236261047296
0,--1WCesjS6CGTNbuCcv8NwAAACMAARAD.jpg,286,286,536.9722889290055
1,EJoldD9BQa-1oWZ57aRkpwAAACMAARAD.jpg,212,212,163.46731217772086
1,-27kQ7i7TMOodSpjIF219QAAACMAARAD.jpg,296,296,75.97877489400902
2,BFA2N6-BR2aFcqHRAosZggAAACMAARAD.jpg,149,149,908.4051801955891
2,-4oePjYiRX-aV_Lrg7G2bAAAACMAARAD.jpg,234,234,309.9453741802315
3,-6-Ry_lpQjqzZxDu3PCnKgAAACMAARAD.jpg,165,165,784.9197534743039
3,vFGEdTYzTli7XP9jMfG_nAAAACMAARAD.jpg,230,230,322.3728413988658
4,-7WUbGMHQoGn3fpAl7WSsQAAACMAARAD.jpg,774,774,73.01857023865777
4,Gs_VXfglQ1uqNELmSMQ2AQAAACMAARAD.jpg,130,130,128.03641434123452
5,bVawogFLRMGgpEn-gggk4wAAACMAARAD.jpg,161,161,163.42861686104635
5,Nn2K7XlPRN6-6s7i9tRnFgAAACMAARAD.jpg,388,388,172.4902894458286
6,aRf1VxctTU-hDMezmgAeKQAAACMAARAD.jpg,245,245,60.78603150228429
6,PlKKBn3jQUOWl-hlh6NR4gAAACMAARAD.jpg,142,142,133.71876566085888
7,GaHS4xtJRXi4HDSd5y7nmAAAACMAARED.jpg,218,218,19.397270909472955
7,-AmS43fuRgusYi5axPxikAAAACMAARED.jpg,213,213,392.31257090385975
8,8f-IUpl5S2-IQZux0VQReAAAACMAARAD.jpg,278,278,148.2512828799947
8,-As8_KWaRZ2NO_sEkUNJfgAAACMAARAD.jpg,192,192,2099.0697596485234
9,-DuiPyToQ4eFeDUBzzCF8gAAACMAARAD.jpg,156,156,110.0085398695601
9,ZIcebtM1ToeiKA-KiwDZagAAACMAARAD.jpg,299,299,167.4332981065499
10,-Q7Iddl8ScWwzEwmvqvfaAAAACMAARAD.jpg,255,255,566.3279277339432
