dataset_dog_id,blr_id,image_name
0,BLR-6001,--1WCesjS6CGTNbuCcv8NwAAACMAARAD.jpg
1,BLR-6002,-27kQ7i7TMOodSpjIF219QAAACMAARAD.jpg
4785,BLR-6903,-3TTrXL2TLSHeHu8PYtcawAAACMAARAD.jpg
5146,BLR-6952,-46Y2mftRrCmlEzefbfWpQAAACMAARED.jpg
5376,BLR-6978,-4KUPUD3S7miiE0Ezt75MgAAACMAARAD.jpg
2,BLR-6003,-4oePjYiRX-aV_Lrg7G2bAAAACMAARAD.jpg
3562,BLR-6732,-4rOCQlwT5ednnqCt8nDGwAAACMAARAD.jpg
3,BLR-6004,-6-Ry_lpQjqzZxDu3PCnKgAAACMAARAD.jpg
4866,BLR-6915,-6hUXIcMQ4eHPJSZOjA2lgAAACMAARAD.jpg
5858,BLR-7047,-6WHQxGYR3ej96FqYNv-hAAAACMAARAD.jpg
4,BLR-6005,-7WUbGMHQoGn3fpAl7WSsQAAACMAARAD.jpg
7,BLR-6008,-AmS43fuRgusYi5axPxikAAAACMAARED.jpg
2396,BLR-6580,-AneLss4TrWlctiSmAEgWAAAACMAARAD.jpg
8,BLR-6009,-As8_KWaRZ2NO_sEkUNJfgAAACMAARAD.jpg
13,BLR-6014,-cw63sDVSW-EsXazEFxPjAAAACMAARAD.jpg
9,BLR-6010,-DuiPyToQ4eFeDUBzzCF8gAAACMAARAD.jpg
2547,BLR-6601,-eiqVCVbRUWz5IAFPHniJAAAACMAARAD.jpg
2867,BLR-6634,-G70uwjFQpOupKcE5FBwqAAAACMAARAD.jpg
14,BLR-6015,-hBG_IPDTwSmrMs1wOIb9QAAACMAARAD.jpg
5145,BLR-6951,-j4hTfnxQVK7v1vSJVYpGwAAACMAARAD.jpg
2867,BLR-6634,-klaK4SPTX2NaJwGjddxcAAAACMAARAD.jpg
2817,BLR-6630,-lizwZHiQZ-e9gn19oJZpgAAACMAARAD.jpg
4073,BLR-6803,-MaD9tGjT1S3ll3Xg-nx2QAAACMAARAD.jpg
4535,BLR-6870,-OUnr-fzT02o1RlVapfaFgAAACMAARAD.jpg
10,BLR-6011,-Q7Iddl8ScWwzEwmvqvfaAAAACMAARAD.jpg
5408,BLR-6983,-QANByhxRGW9D2lGrHVlIAAAACMAARAD.jpg
3520,BLR-6723,-SJHelDESymQnkQLzxKlEAAAACMAARAD.jpg
5060,BLR-6939,-spB12UqSquw6JFHCMnVvAAAACMAARAD.jpg
2374,BLR-6575,-sRd0HOLTMi31Zl8olY0swAAACMAARAD.jpg
5366,BLR-6976,-T3kmxHsR_at5f59vfsPOgAAACMAARAD.jpg
15,BLR-6016,-tvD7MC7TnOavsCMNRMa1wAAACMAARAD.jpg
12,BLR-6013,-Yj1zKInQ-m82GtqixWWDwAAACMAARAD.jpg
2559,BLR-6602,01BHfBWoScyoxXamUICRiQAAACMAARAD.jpg
3535,BLR-6726,04DbnQwuQ9-V7aXBO2DEHwAAACMAARAD.jpg
26,BLR-6027,0aDUq2lvTm--83ctWLYX6AAAACMAARAD.jpg
16,BLR-6017,0BIGWyjLRf-C897Kili9dgAAACMAARAD.jpg
2263,BLR-6561,0B_1VvW7Tf-JbPPg_FILiQAAACMAARAD.jpg
4484,BLR-6867,0c8WDyGlRLGG6z3cakS3FAAAACMAARAD.jpg
1934,BLR-6514,0cuE2Cv9R6SjBy3sbxD0nwAAACMAARAD.jpg
3606,BLR-6739,0DrBosxjRlm7IG7Uu3fvsAAAACMAARAD.jpg
2374,BLR-6575,0dVTXL9mS52QiCwBjwd3lAAAACMAARAD.jpg
4483,BLR-6866,0eMsonI6RNeGHrgMlDEXgwAAACMAARAD.jpg
29,BLR-6030,0exEUosxQFWZh7qo5ZflXQAAACMAARAD.jpg
28,BLR-6029,0e__s4eGS6SpKGXgxChF-QAAACMAARAD.jpg
5957,BLR-7056,0GdWO5icQbKwpuwrEKLdgwAAACMAARAD.jpg
18,BLR-6019,0H3KfrmYR4ComBTewWhrbAAAACMAARAD.jpg
19,BLR-6020,0HFSLHuCQp6ZBreVp4Fa_wAAACMAARAD.jpg
3880,BLR-6776,0HmctjqsQjOHQ3-FGaEvkwAAACMAARAD.jpg
3360,BLR-6702,0iWNHmtdT3WIteY42Nt7JwAAACMAARAD.jpg
4955,BLR-6925,0JTF9de3QTu_LIa8mqq0BwAAACMAARAD.jpg
3401,BLR-6708,0JthCVaYR66NKvppWKPhVwAAACMAARAD.jpg
20,BLR-6021,0JzDsyJjS5mf_hnGozDvfQAAACMAARAD.jpg
4605,BLR-6876,0k8iH_gpQGiWVri8gxh-rQAAACMAARAD.jpg
